rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_name,team_rating,team_region,team_seed,team_slot
1,0.3350123011,0.08103112554,0.01761775012,0.005758942857,0.001486805035,0.000336694013,South Dakota State,79.68,Midwest,13,78
1,0.2815903407,0.1005180479,0.009427243079,0.002804776911,0.000775789909,0.000222630926,Vermont,80.32,West,13,14
1,0.1847910891,0.0496632748,0.009648179401,0.002595950731,0.000718198772,0.00017074726,Chattanooga,78.68,South,13,110
1,0.1356099497,0.03026070533,0.0025995874,0.000721287412,0.000163881672,3.93E-05,New Mexico State,77.67,West,12,10
1,0.1513348173,0.0365490268,0.007143303814,0.001193129686,0.000216842209,3.52E-05,Colgate,76.39,Midwest,14,86
1,0.0739449253,0.01636726772,0.004259766839,0.000801149415,0.000117655855,2.55E-05,Akron,76.67,East,13,46
1,0.04521475435,0.01201390954,0.001430404113,0.000252969574,2.88E-05,4.97E-06,Saint Peter's,74.19,East,15,62
1,0.0545189294,0.008014948618,0.0012249187,0.000282771438,2.97E-05,4.77E-06,Yale,74.44,East,14,54
1,0.07315106456,0.01479794841,0.002654865756,0.000223877008,3.08E-05,4.65E-06,Montana State,74.31,West,14,22
1,0.05386351017,0.01330254789,0.002199561371,0.000242630927,3.53E-05,4.62E-06,Jacksonville State,73.16,Midwest,15,94
1,0.06159199383,0.01029850076,0.001195679991,0.000127343066,1.83E-05,2.30E-06,Longwood,73.41,South,14,118
1,0.05171427847,0.008557200359,0.001135650056,0.000120358509,1.70E-05,2.10E-06,Delaware,73.58,South,15,126
1,0.01168449706,0.001591685803,0.000255964427,3.58E-05,5.63E-06,9.60E-07,Georgia State,73.48,West,16,2
1,0.03560685004,0.004657184849,0.000620353729,6.18E-05,4.59E-06,5.35E-07,Norfolk State,71.42,East,16,34
1,0.02908418738,0.003116932561,0.000425156862,2.93E-05,2.91E-06,3.23E-07,Cal State Fullerton,71.79,West,15,30
1,0.2476994428,0.07111564485,0.03310128301,0.01142410982,0.003419140567,1.36E-03,Indiana/Wyoming,81.91087415,East,12,42
1,0.1933142363,0.05755162573,0.02178259037,0.004026390071,0.001453335349,0.0005307078375,Notre Dame/Rutgers,81.41215057,West,11,18
1,0.01864033366,0.004004802236,0.0005362360556,8.06E-05,1.27E-05,1.74E-06,Bryant/Wright State,72.89088229,South,16,98
1,0.01434511401,0.002314108635,2.34E-04,2.50E-05,2.87E-06,3.02E-07,Texas A&M/Texas Southern,69.27067603,Midwest,16,66
